lat,lon,coastline,grid.for.model,reg,gridID,plotted.Var1,plotted.Var2,lat.sq1,lat.sq2,lon.sq1,lon.sq2,sourceID
33.5,126.5,1,1,1_Asia,32042,5,3,33,34,126,127,nonSource
40.5,127.5,1,1,1_Asia,32160,6,3,40,41,127,128,nonSource
39.5,127.5,1,1,1_Asia,32161,7,3,39,40,127,128,nonSource
38.5,127.5,1,1,1_Asia,32162,8,3,38,39,127,128,nonSource
36.5,127.5,1,1,1_Asia,32164,9,3,36,37,127,128,nonSource
35.5,127.5,1,1,1_Asia,32165,10,3,35,36,127,128,nonSource
34.5,127.5,1,1,1_Asia,32166,11,3,34,35,127,128,nonSource
40.5,128.5,1,1,1_Asia,32285,12,3,40,41,128,129,nonSource
38.5,128.5,1,1,1_Asia,32287,13,3,38,39,128,129,nonSource
37.5,128.5,1,1,1_Asia,32288,14,3,37,38,128,129,nonSource
35.5,128.5,1,1,1_Asia,32290,15,3,35,36,128,129,nonSource
34.5,128.5,1,1,1_Asia,32291,16,3,34,35,128,129,nonSource
41.5,129.5,1,1,1_Asia,32409,18,3,41,42,129,130,nonSource
40.5,129.5,1,1,1_Asia,32410,19,3,40,41,129,130,nonSource
37.5,129.5,1,1,1_Asia,32413,20,3,37,38,129,130,nonSource
36.5,129.5,1,1,1_Asia,32414,21,3,36,37,129,130,nonSource
35.5,129.5,1,1,1_Asia,32415,22,3,35,36,129,130,nonSource
34.5,129.5,1,1,1_Asia,32416,1,4,34,35,129,130,nonSource
42.5,130.5,1,1,1_Asia,32533,6,4,42,43,130,131,nonSource
41.5,130.5,1,1,1_Asia,32534,7,4,41,42,130,131,nonSource
37.5,130.5,1,1,1_Asia,32538,8,4,37,38,130,131,nonSource
34.5,130.5,1,1,1_Asia,32541,9,4,34,35,130,131,nonSource
43.5,131.5,1,1,1_Asia,32657,14,4,43,44,131,132,nonSource
42.5,131.5,1,1,1_Asia,32658,15,4,42,43,131,132,nonSource
34.5,131.5,1,1,1_Asia,32666,16,4,34,35,131,132,nonSource
43.5,132.5,1,1,1_Asia,32782,21,4,43,44,132,133,nonSource
42.5,132.5,1,1,1_Asia,32783,22,4,42,43,132,133,nonSource
36.5,132.5,1,1,1_Asia,32789,1,5,36,37,132,133,nonSource
35.5,132.5,1,1,1_Asia,32790,2,5,35,36,132,133,nonSource
42.5,133.5,1,1,1_Asia,32908,6,5,42,43,133,134,nonSource
36.5,133.5,1,1,1_Asia,32914,7,5,36,37,133,134,nonSource
35.5,133.5,1,1,1_Asia,32915,8,5,35,36,133,134,nonSource
43.5,134.5,1,1,1_Asia,33032,12,5,43,44,134,135,nonSource
42.5,134.5,1,1,1_Asia,33033,13,5,42,43,134,135,nonSource
35.5,134.5,1,1,1_Asia,33040,14,5,35,36,134,135,nonSource
44.5,135.5,1,1,1_Asia,33156,17,5,44,45,135,136,nonSource
43.5,135.5,1,1,1_Asia,33157,18,5,43,44,135,136,nonSource
36.5,135.5,1,1,1_Asia,33164,19,5,36,37,135,136,nonSource
35.5,135.5,1,1,1_Asia,33165,20,5,35,36,135,136,nonSource
44.5,136.5,1,1,1_Asia,33281,1,6,44,45,136,137,nonSource
37.5,136.5,1,1,1_Asia,33288,2,6,37,38,136,137,nonSource
36.5,136.5,1,1,1_Asia,33289,3,6,36,37,136,137,nonSource
35.5,136.5,1,1,1_Asia,33290,4,6,35,36,136,137,nonSource
37.5,137.5,1,1,1_Asia,33413,7,6,37,38,137,138,nonSource
36.5,137.5,1,1,1_Asia,33414,8,6,36,37,137,138,nonSource
38.5,138.5,1,1,1_Asia,33537,10,6,38,39,138,139,nonSource
37.5,138.5,1,1,1_Asia,33538,11,6,37,38,138,139,nonSource
40.5,139.5,1,1,1_Asia,33660,16,6,40,41,139,140,nonSource
39.5,139.5,1,1,1_Asia,33661,17,6,39,40,139,140,nonSource
38.5,139.5,1,1,1_Asia,33662,18,6,38,39,139,140,nonSource
37.5,139.5,1,1,1_Asia,33663,19,6,37,38,139,140,nonSource
33.5,139.5,1,1,1_Asia,33667,22,6,33,34,139,140,nonSource
32.5,139.5,1,1,1_Asia,33668,1,7,32,33,139,140,nonSource
40.5,140.5,1,1,1_Asia,33785,5,7,40,41,140,141,nonSource
39.5,140.5,1,1,1_Asia,33786,6,7,39,40,140,141,nonSource
31.5,140.5,1,1,1_Asia,33794,11,7,31,32,140,141,nonSource
30.5,140.5,1,1,1_Asia,33795,12,7,30,31,140,141,nonSource
