"species","type","comparison","post","oob","firstmod","secmod","winner","loserPost","shipPost","admixPost","MLPost"
"Haminoea_japonica","untrans","AdmixVML",0.544111666666667,0.157070226691125,"Admix","ML","ML",0.455888333333333,NA,0.455888333333333,0.544111666666667
"Haminoea_japonica","pca","ShipVadmix",0.762040515873016,0.0121046119553822,"Ship","admix","admix",0.237959484126984,0.237959484126984,0.762040515873016,NA
"Haminoea_japonica","untrans","ShipVadmix",0.885173333333333,0.00931080404620456,"Ship","admix","admix",0.114826666666667,0.114826666666667,0.885173333333333,NA
"Haminoea_japonica","pca","ShipVML",0.802323706995618,0.00991533754601528,"Ship","ML","ML",0.197676293004382,0.197676293004382,NA,0.802323706995618
"Haminoea_japonica","untrans","ShipVML",0.909821666666667,0.00590203155926466,"Ship","ML","ML",0.090178333333333,0.090178333333333,NA,0.909821666666667
"Haminoea_japonica","pca","AdmixVML",0.591839166666668,0.186233213307063,"Admix","ML","ML",0.408160833333332,NA,0.408160833333332,0.591839166666668
"Haminoea_japonica","untrans","AdmixVML",0.541931666666666,0.157726974205675,"Admix","ML","ML",0.458068333333334,NA,0.458068333333334,0.541931666666666
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.867741818181818,0.0279608282993177,"Ship","admix","Ship",0.132258181818182,0.867741818181818,0.132258181818182,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.708986666666667,0.0265883281129849,"Ship","admix","Ship",0.291013333333333,0.708986666666667,0.291013333333333,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.856298333333333,0.0275679224137618,"Ship","ML","Ship",0.143701666666667,0.856298333333333,NA,0.143701666666667
"Hemigrapsus_sanguineus","untrans","ShipVML",0.70069,0.0206405797206576,"Ship","ML","Ship",0.29931,0.70069,NA,0.29931
"Hemigrapsus_sanguineus","pca","AdmixVML",0.506526666666667,0.464427280715835,"Admix","ML","Admix",0.493473333333333,NA,0.506526666666667,0.493473333333333
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.500783333333332,0.447437365842245,"Admix","ML","ML",0.499216666666668,NA,0.499216666666668,0.500783333333332
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.867458333333333,0.0279608282993177,"Ship","admix","Ship",0.132541666666667,0.867458333333333,0.132541666666667,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.722893333333334,0.026690129451309,"Ship","admix","Ship",0.277106666666666,0.722893333333334,0.277106666666666,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.854875,0.0275679224137618,"Ship","ML","Ship",0.145125,0.854875,NA,0.145125
"Hemigrapsus_sanguineus","untrans","ShipVML",0.713091666666666,0.0206659678875957,"Ship","ML","Ship",0.286908333333334,0.713091666666666,NA,0.286908333333334
"Hemigrapsus_sanguineus","pca","AdmixVML",0.503442619047619,0.464245003006222,"Admix","ML","Admix",0.496557380952381,NA,0.503442619047619,0.496557380952381
"Hemigrapsus_sanguineus","untrans","AdmixVML",0.465501666666667,0.44847662084332,"Admix","ML","ML",0.534498333333333,NA,0.534498333333333,0.465501666666667
"Hemigrapsus_sanguineus","pca","ShipVadmix",0.862348333333333,0.0279771892286913,"Ship","admix","Ship",0.137651666666667,0.862348333333333,0.137651666666667,NA
"Hemigrapsus_sanguineus","untrans","ShipVadmix",0.707706666666666,0.026693765213392,"Ship","admix","Ship",0.292293333333334,0.707706666666666,0.292293333333334,NA
"Hemigrapsus_sanguineus","pca","ShipVML",0.847613333333333,0.0275334670443459,"Ship","ML","Ship",0.152386666666667,0.847613333333333,NA,0.152386666666667
"Hemigrapsus_sanguineus","untrans","ShipVML",0.690010000000001,0.0206895426140382,"Ship","ML","Ship",0.309989999999999,0.690010000000001,NA,0.309989999999999
"Hemigrapsus_sanguineus","pca","AdmixVML",0.500063333333333,0.463991990663028,"Admix","ML","ML",0.499936666666667,NA,0.499936666666667,0.500063333333333
