indID,hap,popID,lat,lon
Nan_208,R7,Nan,37.20305556,136.9066667
Nan_209,R7,Nan,37.20305556,136.9066667
Nan_210,R7,Nan,37.20305556,136.9066667
Nan_211,R7,Nan,37.20305556,136.9066667
Yul_212,R7,Yul,34.76777778,128.5958333
Yul_213,R7,Yul,34.76777778,128.5958333
Yul_214,R7,Yul,34.76777778,128.5958333
Yul_215,R7,Yul,34.76777778,128.5958333
Yul_216,R7,Yul,34.76777778,128.5958333
Yul_217,R7,Yul,34.76777778,128.5958333
Yul_218,R7,Yul,34.76777778,128.5958333
Yul_219,R7,Yul,34.76777778,128.5958333
Yul_220,R7,Yul,34.76777778,128.5958333
Yul_221,R8,Yul,34.76777778,128.5958333
Yul_222,R9,Yul,34.76777778,128.5958333
Yul_223,R10,Yul,34.76777778,128.5958333
Yul_224,R11,Yul,34.76777778,128.5958333
Yul_225,R12,Yul,34.76777778,128.5958333
Yul_226,R13,Yul,34.76777778,128.5958333
Yul_227,R14,Yul,34.76777778,128.5958333
Yul_228,R15,Yul,34.76777778,128.5958333
Yul_229,R16,Yul,34.76777778,128.5958333
Yul_230,R17,Yul,34.76777778,128.5958333
Yul_231,R18,Yul,34.76777778,128.5958333
Yul_232,R19,Yul,34.76777778,128.5958333
Yul_233,R20,Yul,34.76777778,128.5958333
Yul_234,R21,Yul,34.76777778,128.5958333
Yul_235,R21,Yul,34.76777778,128.5958333
Oki_236,R21,Oki,26.3475,127.8852778
WJR_237,R21,WJR,24.42666667,118.3094444
WJR_238,R21,WJR,24.42666667,118.3094444
WJR_239,R21,WJR,24.42666667,118.3094444
WJR_240,R21,WJR,24.42666667,118.3094444
WJR_241,R21,WJR,24.42666667,118.3094444
WJR_242,R21,WJR,24.42666667,118.3094444
WJR_243,R21,WJR,24.42666667,118.3094444
WJR_244,R21,WJR,24.42666667,118.3094444
WJR_245,R21,WJR,24.42666667,118.3094444
WJR_246,R21,WJR,24.42666667,118.3094444
WJR_247,R21,WJR,24.42666667,118.3094444
WJR_248,R21,WJR,24.42666667,118.3094444
XSW_249,R21,XSW,24.77722222,120.9125
XSW_250,R21,XSW,24.77722222,120.9125
