pop,file,mapped,unmapped,mappedMQ0,id,mappedProp,mappedPropMQ0,fullpath,lib,paralogRemoved,PopID.alt,truepop,Abbreviation,Region,Date_of_Collection,Latitude,Longitude,Collector,Notes
ALB,ALB_02.comb_bwa.np.bam,3116745,304579,846644,ALB_02,0.911,0.272,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_02.comb_bwa.np.bam,2021,TRUE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_03.run1+2_bwa.bam,930798,82485,264895,ALB_03,0.919,0.285,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_03.run1+2_bwa.bam,2017,FALSE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_03.run1+2_bwa.np.bam,733764,82485,179618,ALB_03,0.899,0.245,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_03.run1+2_bwa.np.bam,2017,TRUE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_05.run1+2_bwa.bam,1212227,116631,351575,ALB_05,0.912,0.29,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_05.run1+2_bwa.bam,2017,FALSE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_05.run1+2_bwa.np.bam,954079,116631,238927,ALB_05,0.891,0.25,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_05.run1+2_bwa.np.bam,2017,TRUE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_07.run1+2_bwa.bam,1396234,125028,399537,ALB_07,0.918,0.286,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_07.run1+2_bwa.bam,2017,FALSE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_07.run1+2_bwa.np.bam,1103353,125028,272605,ALB_07,0.898,0.247,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_07.run1+2_bwa.np.bam,2017,TRUE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_09.run1+2_bwa.bam,1185284,101146,339306,ALB_09,0.921,0.286,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_09.run1+2_bwa.bam,2017,FALSE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_09.run1+2_bwa.np.bam,939194,101146,232431,ALB_09,0.903,0.247,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_09.run1+2_bwa.np.bam,2017,TRUE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_12.comb_bwa.bam,2660993,225551,813989,ALB_12,0.922,0.306,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_12.comb_bwa.bam,2021,FALSE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_01.run1+2_bwa.bam,1249191,117279,349038,ALB_01,0.914,0.279,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_01.run1+2_bwa.bam,2017,FALSE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_01.run1+2_bwa.np.bam,987560,117279,236778,ALB_01,0.894,0.24,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_01.run1+2_bwa.np.bam,2017,TRUE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_12.run1+2_bwa.np.bam,1016865,108731,252672,ALB_12,0.903,0.248,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_12.run1+2_bwa.np.bam,2017,TRUE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_14.run1+2_bwa.bam,1433372,120793,407472,ALB_14,0.922,0.284,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_14.run1+2_bwa.bam,2017,FALSE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_14.run1+2_bwa.np.bam,1130122,120793,276164,ALB_14,0.903,0.244,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_14.run1+2_bwa.np.bam,2017,TRUE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_16.comb_bwa.bam,2835037,273652,791606,ALB_16,0.912,0.279,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_16.comb_bwa.bam,2021,FALSE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_16.comb_bwa.np.bam,2260485,273652,528246,ALB_16,0.892,0.234,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_16.comb_bwa.np.bam,2021,TRUE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_18.run1+2_bwa.bam,1065213,88886,306804,ALB_18,0.923,0.288,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_18.run1+2_bwa.bam,2017,FALSE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_18.run1+2_bwa.np.bam,839843,88886,208324,ALB_18,0.904,0.248,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_18.run1+2_bwa.np.bam,2017,TRUE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
