Locality codea	Collection locality (collection date)	Origin	"Haplotyes (No. samples, Accession No.b)"	Haplotype	Number	Name1	Name2	Country	lat	lon
62	"Kuranomoto, Nagashima, Kagoshima Pref., Japan (28 Mar. 2006)"	"Hanyuda et al., 2016"	"H38 (1), H48 (1, AB607177/AB607824)"	H48	1	Kuranomoto	Nagashima	Japan	32.183459	130.166311
63	"Tajiri, Minami-osumi, Kagoshima Pref., Japan (26 May 2005)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Tajiri	Minami-osumi	Japan	34.404318	135.278037
65	"Gampo, Korea (10 Mar. 2006)"	"Hanyuda et al., 2016"	"H19 (1, AB607185/AB607819)"	H19	1	Gampo	NA	Korea	35.800440	129.502401
66	"Kuryongp’o, Korea (10 Mar. 2006)"	"Hanyuda et al., 2016"	"H17 (1), H27 (1, AB607185/AB607810), H45 (1)"	H17	1	Kuryongp’o	NA	Korea	35.982493	129.558637
66	"Kuryongp’o, Korea (10 Mar. 2006)"	"Hanyuda et al., 2016"	"H17 (1), H27 (1, AB607185/AB607810), H45 (1)"	H27	1	Kuryongp’o	NA	Korea	35.982493	129.558637
66	"Kuryongp’o, Korea (10 Mar. 2006)"	"Hanyuda et al., 2016"	"H17 (1), H27 (1, AB607185/AB607810), H45 (1)"	H45	1	Kuryongp’o	NA	Korea	35.982493	129.558637
67	"Wolpo, Korea (10 Mar. 2006)"	"Hanyuda et al., 2016"	"H17 (1), H20 (1)"	H17	1	Wolpo	NA	Korea	36.204006	129.366402
67	"Wolpo, Korea (10 Mar. 2006)"	"Hanyuda et al., 2016"	"H17 (1), H20 (1)"	H20	1	Wolpo	NA	Korea	36.204006	129.366402
68	"Dae daepo, Korea (11 Mar. 2006)"	"Hanyuda et al., 2016"	"H22 (1, AB607187/AB607816)"	H22	1	Dae daepo	NA	Korea	35.723522	126.676273
69	"Songdo, Korea (11 Mar. 2006)"	"Hanyuda et al., 2016"	H21 (1)	H21	1	Songdo	NA	Korea	36.036817	129.375069
70	"Geoje Island, Korea (25 Aug. 2005)"	"Hanyuda et al., 2016"	H42 (2)	H42	1	Geoje Island	NA	Korea	34.974234	128.633740
71	"Yosu, Korea (11 Mar. 2006)"	"Hanyuda et al., 2016"	"H20 (1), H23 (2, AB607185/AB607814)"	H20	2	Yosu	NA	Korea	34.723485	127.655692
71	"Yosu, Korea (11 Mar. 2006)"	"Hanyuda et al., 2016"	"H20 (1), H23 (2, AB607185/AB607814)"	H23	1	Yosu	NA	Korea	34.723485	127.655692
72	"Bangpo, Korea (17 Mar. 2006)"	"Hanyuda et al., 2016"	"H2 (1, AB607176/AB607808), H3 (2, AB607176/AB607807)"	H2	2	Bangpo	NA	Korea	35.678783	126.518634
72	"Bangpo, Korea (17 Mar. 2006)"	"Hanyuda et al., 2016"	"H2 (1, AB607176/AB607808), H3 (2, AB607176/AB607807)"	H3	1	Bangpo	NA	Korea	35.678783	126.518634
