Locality codea	Collection locality (collection date)	Origin	"Haplotyes (No. samples, Accession No.b)"	Haplotype	Number	Name1	Name2	Country	lat	lon
46	"Iwaya, Awaji I., Hyogo Pref., Japan (26 May 2005, 28 Apr. 2005)"	"Hanyuda et al., 2016"	"H32 (1, AB607185/AB607822), H33 (1), H41 (1)"	H33	1	Iwaya	Awaji I.	Japan	6.504167	3.391944
46	"Iwaya, Awaji I., Hyogo Pref., Japan (26 May 2005, 28 Apr. 2005)"	"Hanyuda et al., 2016"	"H32 (1, AB607185/AB607822), H33 (1), H41 (1)"	H41	1	Iwaya	Awaji I.	Japan	6.504167	3.391944
47	"Akashi, Hyogo Pref., Japan (28 Apr. 2005)"	"Hanyuda et al., 2016"	H32 (1)	H32	1	Akashi	Hyogo Pref.	Japan	34.6832635	134.9476925
48	"Yura, Sumoto, Hyogo Pref., Japan (25 Apr. 2005)"	"Hanyuda et al., 2016"	H7 (2)	H7	1	Yura	Sumoto	Japan	46.7833625	5.783285726
49	"Maruyama, Minamiawaji, Hyogo Pref., Japan (25 Apr. 2005, 12 May 2005)"	"Hanyuda et al., 2016"	"H30 (1), H42 (1)"	H30	2	Maruyama	Minamiawaji	Japan	43.0472847	141.3165501
50	"Ie-shima, Himeji, Hyogo Pref., Japan (10 May 2005)"	"Hanyuda et al., 2016"	H32 (1)	H42	1	Ie-shima	Himeji	Japan	26.7257576	127.7649002
50	"Ie-shima, Himeji, Hyogo Pref., Japan (10 May 2005)"	"Hanyuda et al., 2016"	H32 (1)	H32	1	Ie-shima	Himeji	Japan	26.7257576	127.7649002
51	"Oki Island, Shimane Pref., Japan (Aug. 2006)"	"Hanyuda et al., 2016"	"H11 (1, AB607180/AB607811), H14 (1, AB607180/AB607818), H40 (1, AB607180/AB607825)"	H11	1	Oki Island	Shimane Pref.	Japan	6.4641088	3.388541
51	"Oki Island, Shimane Pref., Japan (Aug. 2006)"	"Hanyuda et al., 2016"	"H11 (1, AB607180/AB607811), H14 (1, AB607180/AB607818), H40 (1, AB607180/AB607825)"	H14	1	Oki Island	Shimane Pref.	Japan	6.4641088	3.388541
51	"Oki Island, Shimane Pref., Japan (Aug. 2006)"	"Hanyuda et al., 2016"	"H11 (1, AB607180/AB607811), H14 (1, AB607180/AB607818), H40 (1, AB607180/AB607825)"	H40	1	Oki Island	Shimane Pref.	Japan	6.4641088	3.388541
52	"Nakaumi, Matsue, Shimane Pref., Japan (13 Jun. 2006)"	"Hanyuda et al., 2016"	H12 (3)	H12	3	Nakaumi	Matsue	Japan	35.4746298	133.1943939
53	"Izumo, Shimane Pref., Japan (30 Mar. 2006)"	"Hanyuda et al., 2016"	H12 (1)	H12	1	Izumo	Shimane Pref.	Japan	35.3668891	132.7548827
54	"Tonoura, Hamada, Shimane Pref., Japan (30 Mar. 2006)"	"Hanyuda et al., 2016"	"H13 (1, AB607180/AB607816), H17 (1), H30 (1)"	H13	1	Tonoura	Hamada	Japan	34.40393675	133.2038509
54	"Tonoura, Hamada, Shimane Pref., Japan (30 Mar. 2006)"	"Hanyuda et al., 2016"	"H13 (1, AB607180/AB607816), H17 (1), H30 (1)"	H17	1	Tonoura	Hamada	Japan	34.40393675	133.2038509
54	"Tonoura, Hamada, Shimane Pref., Japan (30 Mar. 2006)"	"Hanyuda et al., 2016"	"H13 (1, AB607180/AB607816), H17 (1), H30 (1)"	H30	1	Tonoura	Hamada	Japan	34.40393675	133.2038509
55	"Yashiro Is., Yamaguchi Pref., Japan (12 Jun. 2005)"	"Hanyuda et al., 2016"	H38 (1)	H38	1	Yashiro Is.	Yamaguchi Pref.	Japan	33.912194	132.2490724
56	"Onyu Is., Saeki, Oita Pref., Japan (6 Jun. 2005)"	"Hanyuda et al., 2016"	"H46 (1, AB607177/AB607828)"	H46	1	Onyu Is.	Saeki	Japan	34.43825	132.302395
57	"Tsuyazaki, Fukutsu, Fukuoka Pref., Japan (27 Apr. 2006, 13 Jul. 2006)"	"Hanyuda et al., 2016"	"H1 (1, AB607175/AB607810), H18 (1, AB607183/AB607818), H32 (1)"	H1	1	Tsuyazaki	Fukutsu	Japan	33.7875223	130.4673578
58	"Shikano-shima, Fukuoka Pref., Japan (29 Mar. 2006)"	"Hanyuda et al., 2016"	"H18 (1), H31 (1, AB607183/AB607820)"	H18	1	Shikano-shima	Fukuoka Pref.	Japan	33.6626499	130.3142524
58	"Shikano-shima, Fukuoka Pref., Japan (29 Mar. 2006)"	"Hanyuda et al., 2016"	"H18 (1), H31 (1, AB607183/AB607820)"	H31	1	Shikano-shima	Fukuoka Pref.	Japan	33.6626499	130.3142524
59	"Keyano-oto, Shima, Fukuoka Pref., Japan (26 Apr. 2006)"	"Hanyuda et al., 2016"	"H28 (1, AB607183/AB607809)"	H28	1	Keyano-oto	Shima	Japan	34.3411841	136.8196451
60	"Imari, Saga Pref., Japan (9 Jun. 2005)"	"Hanyuda et al., 2016"	"H39 (1, AB607180/AB607824), H44 (1)"	H39	1	Imari	Saga Pref.	Japan	33.2644557	129.8808439
60	"Imari, Saga Pref., Japan (9 Jun. 2005)"	"Hanyuda et al., 2016"	"H39 (1, AB607180/AB607824), H44 (1)"	H44	1	Imari	Saga Pref.	Japan	33.2644557	129.8808439
61	"Teguma, Nagasaki Pref., Japan (6 Jun. 2005)"	"Hanyuda et al., 2016"	H32 (1)	H32	1	Teguma	Nagasaki Pref.	Japan	32.712758	129.846463
62	"Kuranomoto, Nagashima, Kagoshima Pref., Japan (28 Mar. 2006)"	"Hanyuda et al., 2016"	"H38 (1), H48 (1, AB607177/AB607824)"	H38	1	Kuranomoto	Nagashima	Japan	32.183459	130.166311
62	"Kuranomoto, Nagashima, Kagoshima Pref., Japan (28 Mar. 2006)"	"Hanyuda et al., 2016"	"H38 (1), H48 (1, AB607177/AB607824)"	H48	1	Kuranomoto	Nagashima	Japan	32.183459	130.166311
63	"Tajiri, Minami-osumi, Kagoshima Pref., Japan (26 May 2005)"	"Hanyuda et al., 2016"	H5 (2)	H5	2	Tajiri	Minami-osumi	Japan	34.4043179	135.2780365
65	"Gampo, Korea (10 Mar. 2006)"	"Hanyuda et al., 2016"	"H19 (1, AB607185/AB607819)"	H19	1	Gampo	NA	Korea	42.9631482	-3.9057977
66	"Kuryongp’o, Korea (10 Mar. 2006)"	"Hanyuda et al., 2016"	"H17 (1), H27 (1, AB607185/AB607810), H45 (1)"	H17	1	Kuryongp’o	NA	Korea	-23.2335499	17.3231107
66	"Kuryongp’o, Korea (10 Mar. 2006)"	"Hanyuda et al., 2016"	"H17 (1), H27 (1, AB607185/AB607810), H45 (1)"	H27	1	Kuryongp’o	NA	Korea	-23.2335499	17.3231107
66	"Kuryongp’o, Korea (10 Mar. 2006)"	"Hanyuda et al., 2016"	"H17 (1), H27 (1, AB607185/AB607810), H45 (1)"	H45	1	Kuryongp’o	NA	Korea	-23.2335499	17.3231107
67	"Wolpo, Korea (10 Mar. 2006)"	"Hanyuda et al., 2016"	"H17 (1), H20 (1)"	H17	1	Wolpo	NA	Korea	36.2040057	129.3664017
67	"Wolpo, Korea (10 Mar. 2006)"	"Hanyuda et al., 2016"	"H17 (1), H20 (1)"	H20	1	Wolpo	NA	Korea	36.2040057	129.3664017
68	"Dae daepo, Korea (11 Mar. 2006)"	"Hanyuda et al., 2016"	"H22 (1, AB607187/AB607816)"	H28	1	Dae daepo	NA	Korea	35.7235219	126.6762726
69	"Songdo, Korea (11 Mar. 2006)"	"Hanyuda et al., 2016"	H21 (1)	H21	1	Songdo	NA	Korea	36.0368173	129.375069
70	"Geoje Island, Korea (25 Aug. 2005)"	"Hanyuda et al., 2016"	H42 (2)	H42	1	Geoje Island	NA	Korea	34.9742338	128.6337401
71	"Yosu, Korea (11 Mar. 2006)"	"Hanyuda et al., 2016"	"H20 (1), H23 (2, AB607185/AB607814)"	H20	2	Yosu	NA	Korea	43.1059433	-2.4244248
71	"Yosu, Korea (11 Mar. 2006)"	"Hanyuda et al., 2016"	"H20 (1), H23 (2, AB607185/AB607814)"	H23	1	Yosu	NA	Korea	43.1059433	-2.4244248
